nombre_producto,cantidad_entregada
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,60
INSULINA GLARGINA 450U.I./1.5ML (300U.I./ML) LAPICERO | SANOFI AVENTIS | TOUJEO,3
VALSARTAN 160MG TABLETA | LASANTE |,175
ACETAMINOFEN 500MG TABLETA | AG |,30
ATORVASTATINA 20MG TABLETA | LASANTE |,90
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,90
LACTULOSA 66.7GR/100ML SOBRE DE SOLUCION ORAL | HUMAX | CONSTILAX,12
VALSARTAN 160MG TABLETA | LASANTE |,1
BISACODILO 5MG TABLETA | BUSSIE |,60
RIFAXIMINA 550MG TABLETA | NOVAMED | RIFAMED,28
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,90
ATORVASTATINA 20MG TABLETA | LASANTE |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
ATORVASTATINA 20MG TABLETA | LASANTE |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
METFORMINA 850MG TABLETA | PISA S.A |,90
TRAMADOL CLORHIDRATO 100MG/ML SOLUCION ORAL | EXPOFARMA | 10ML,2
HIDROXICLOROQUINA 200MG TABLETA | SIEGFRIED | DIMARD 200,30
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,100
CARVEDILOL 6.25MG TABLETA | WINTHROP |,180
ESOMEPRAZOL 20MG TABLETA | ASTRA ZENECA | NEXIUM MUPS,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,90
ROSUVASTATINA 40MG TABLETA | ECAR |,90
ALENDRONATO 70MG TABLETA | LASANTE |,12
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,100
INSULINA GLARGINA 450U.I./1.5ML (300U.I./ML) LAPICERO | SANOFI AVENTIS | TOUJEO,2
RIVAROXABAN 15MG TABLETA | SANOFI AVENTIS |,90
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,90
ROSUVASTATINA 40MG TABLETA | ECAR |,1
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,90
GLUCOMETRO DIGITAL | PROCAPS | GLUCOQUICK DIAMOND GD50,1
LANCETAS DE GLUCOMETRIA | PROCAPS | GLUCOQUICK,100
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
ROSUVASTATINA 40MG TABLETA | ECAR |,90
LANCETAS DE GLUCOMETRIA | PROCAPS | GLUCOQUICK,100
