nombre_producto,cantidad_entregada
RISPERIDONA 1MG TABLETA | LA SANTE | ZYRISP,90
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
ACETAMINOFEN 500MG TABLETA | AG |,60
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,90
MELOXICAM 7.5MG TABLETA | LASANTE |,10
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,90
LOSARTAN 50MG TABLETA | GENFAR |,180
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,100
OLANZAPINA 10MG TABLETA | SCANDINAVIA | OLAZAP,180
OLANZAPINA 5MG TABLETA | SIEGFRIED | MEFLAX,90
RIVAROXABAN 15MG TABLETA | SANOFI AVENTIS |,120
FLUOXETINA 20MG TABLETA | NOVAMED | GENERICO,30
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,90
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,30
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
VALSARTAN 160MG TABLETA | LASANTE |,180
ACETAMINOFEN 500MG TABLETA | AG |,30
CARBONATO DE CALCIO 1500MG + VITAMINA D 200U.I TABLETA | LEBRIUT S.A.S | OROCAL D,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ATORVASTATINA 40MG TABLETA ECAR,90
METFORMINA 850MG TABLETA | PISA S.A |,60
VILDAGLIPTINA 50MG TABLETA | WILLOW PHARMA | W-LIPTINA,120
SACAROMICES BOULARDI 250MG SOBRE DE SOLUCION ORAL | AXON PHARMA COLOMBIA | FLORATIL MINI SACHETS,6
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,16
LEVOMEPROMAZINA 4% SOLUCION ORAL | HUMAX |,1
OLANZAPINA 5MG TABLETA | LASANTE |,90
CARBONATO DE LITIO 300MG TABLETA | ACTIFARMA | ACTILITIO,360
INSULINA GLARGINA 450U.I./1.5ML (300U.I./ML) LAPICERO | SANOFI AVENTIS | TOUJEO,6
CARVEDILOL 12.5MG TABLETA | WINTHROP |,180
ATORVASTATINA 20MG TABLETA | ECAR |,90
PREDNISOLONA 5MG TABLETA | GENFAR |,10
BETAHISTINA 16MG TABLETA | LA SANTE |,90
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,90
PRAZOSINA 1MG TABLETA | LABINCO | PRATEN,180
DIHIDROCODEINA 12.1MG/5ML JARABE | FARMATECH S.A | HUMAX,1
ACIDO ASCORBICO 500MG TABLETA MASTICABLE | LASANTE | VITAMINA C,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ESOMEPRAZOL 20MG TABLETA |COLMED,30
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
EZETIMIBA + ROSUVASTATINA 10MG + 20MG TABLETA | LEGRAND | ROSUVINA E,90
ROSUVASTATINA 20MG TABLETA | ECAR |,90
VITAMINA D3 2000UI CAPSULA | COLMED |,90
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
ACETAMINOFEN 500MG TABLETA | AG |,30
SUCRALFATO 1GR TABLETA MASTICABLE | BIOQUIFAR | ANTEPSIN,40
SALBUTAMOL 100MCG INHALADOR | CIPLA |,1
ACETAMINOFEN 500MG TABLETA | AG |,30
DICLOFENACO SODICO 75MG/3ML (2.5%) SOLUCION INYECTABLE | FARMIONNI |,3
ESOMEPRAZOL 40MG TABLETA | COLMED |,30
LEVOTIROXINA 75MCG TABLETA | TECNOQUIMICAS |,90
PREDNISOLONA 0.1% GOTAS OFTALMICAS | SOPHIA | SOPHIPREN,3
ACETAMINOFEN 500MG TABLETA | AG |,30
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
METFORMINA 850MG TABLETA | PISA S.A |,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
ESPIRAMICINA 3.000.000U.I. TABLETA | LABINCO | EXPIREX,90
ATORVASTATINA 40MG TABLETA ECAR,90
TAMOXIFENO 20MG TABLETA | TECNOFARMA | TAXUS,40
TAMOXIFENO 20MG TABLETA | TECNOFARMA | TAXUS,100
BROMFENACO SODICO 0.9MG/5ML SOLUCION OFTALMICA | SOPHIA | ZEBESTEN,3
ACETAMINOFEN 150MG/5ML JARABE | LAPROFF |,2
ESOMEPRAZOL 40MG TABLETA | COLMED |,90
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
ATORVASTATINA 20MG TABLETA | ECAR |,90
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,90
INSULINA GLULISINA 300U.I./3ML (100U.I./ML) CARTUCHO | SANOFI AVENTIS | APIDRA,2
SERTRALINA 50MG TABLETA | GENFAR |,30
QUETIAPINA 100MG TABLETA | GENFAR |,30
ACETATO DE ALUMINIO LOCION 120ML | WINTHROP |,6
LEVETIRACETAM 500MG TABLETA | GLAXO | KEPPRA,120
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,30
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,20
NITAZOXANIDA 500MG TABLETA | BUSSIE | NITAZOFIN,6
OMEPRAZOL 20MG CAPSULA | NOVAMED |,30
LEVOTIROXINA 75MCG TABLETA | TECNOQUIMICAS |,30
INSULINA GLARGINA 300U.I./3ML (100U.I./ML) LAPICERO | SANOFI AVENTIS | LANTUS,1
ACIDO FOLICO 1MG TABLETA | ECAR |,30
ACETAMINOFEN 500MG TABLETA | AG |,30
DIACEREINA 50MG TABLETA | SYNERGY LAB S.A.S | ARTRO M,90
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,90
LOSARTAN 50MG TABLETA | GENFAR |,180
ALBENDAZOL 200MG TABLETA | LAPROFF |,2
